Light curve of GRB : bn081224887
Energy range : 50 to 300 keV
Trigger time (MET s) : 251846276.414
Tstart (s)	Counts/s
-12.600278081540914	4140.625
-12.536274016125267	4328.125
-12.47226995070962	4578.125
-12.408265885293973	4359.375
-12.344261819878326	4468.75
-12.280257754462678	4796.875
-12.216253689047031	4562.5
-12.152249623631384	4187.5
-12.088245558215737	4109.375
-12.024241492800089	4812.5
-11.960237427384442	4156.25
-11.896233361968795	4203.125
-11.832229296553148	4265.625
-11.768225231137501	4187.5
-11.704221165721853	4375.0
-11.640217100306206	4609.375
-11.576213034890559	4578.125
-11.512208969474912	4453.125
-11.448204904059263	4109.375
-11.384200838643617	4031.25
-11.32019677322797	4015.625
-11.256192707812323	4062.5
-11.192188642396676	3843.75
-11.128184576981027	4390.625
-11.06418051156538	4265.625
-11.000176446149734	4515.625
-10.936172380734087	4421.875
-10.87216831531844	3906.25
-10.808164249902791	3765.625
-10.744160184487145	4203.125
-10.680156119071498	4375.0
-10.616152053655851	4281.25
-10.552147988240202	4218.75
-10.488143922824555	4453.125
-10.424139857408909	4125.0
-10.360135791993262	4234.375
-10.296131726577615	4281.25
-10.232127661161968	4343.75
-10.16812359574632	4062.5
-10.10411953033067	4390.625
-10.040115464915026	4390.625
-9.976111399499377	4312.5
-9.912107334083732	4250.0
-9.848103268668083	4250.0
-9.784099203252435	4390.625
-9.72009513783679	4046.875
-9.656091072421141	4437.5
-9.592087007005496	4875.0
-9.528082941589847	4468.75
-9.464078876174199	4609.375
-9.400074810758554	4234.375
-9.336070745342905	4140.625
-9.27206667992726	3906.25
-9.208062614511611	4078.125
-9.144058549095963	4640.625
-9.080054483680318	4968.75
-9.016050418264669	4031.25
-8.95204635284902	4062.5
-8.888042287433375	4109.375
-8.824038222017727	4625.0
-8.760034156602082	4515.625
-8.696030091186433	4609.375
-8.632026025770784	4109.375
-8.56802196035514	4171.875
-8.50401789493949	4343.75
-8.440013829523846	4406.25
-8.376009764108197	4296.875
-8.312005698692548	4343.75
-8.248001633276903	4421.875
-8.183997567861255	4515.625
-8.11999350244561	4578.125
-8.055989437029961	4250.0
-7.991985371614312	4328.125
-7.927981306198667	4250.0
-7.863977240783019	3843.75
-7.79997317536737	4343.75
-7.735969109951725	3953.125
-7.671965044536076	3953.125
-7.607960979120431	4515.625
-7.543956913704783	4781.25
-7.479952848289134	4250.0
-7.415948782873489	4406.25
-7.35194471745784	4484.375
-7.287940652042195	4656.25
-7.223936586626547	4484.375
-7.159932521210898	4500.0
-7.095928455795253	3718.75
-7.031924390379604	4015.625
-6.967920324963959	4265.625
-6.903916259548311	4140.625
-6.839912194132662	4140.625
-6.775908128717017	4468.75
-6.711904063301368	4500.0
-6.647899997885723	4375.0
-6.5838959324700745	4203.125
-6.519891867054426	4312.5
-6.455887801638781	4578.125
-6.391883736223132	4046.875
-6.327879670807484	4671.875
-6.2638756053918385	4671.875
-6.19987153997619	4640.625
-6.135867474560545	4343.75
-6.071863409144896	4421.875
-6.007859343729248	3984.375
-5.9438552783136025	4656.25
-5.879851212897954	4468.75
-5.815847147482309	4437.5
-5.75184308206666	4031.25
-5.6878390166510115	4218.75
-5.6238349512353665	4343.75
-5.559830885819718	4218.75
-5.495826820404073	4250.0
-5.431822754988424	3968.75
-5.3678186895727755	4578.125
-5.3038146241571305	4218.75
-5.239810558741482	4328.125
-5.175806493325837	4203.125
-5.111802427910188	4000.0
-5.0477983624945395	4031.25
-4.983794297078894	4312.5
-4.919790231663246	4140.625
-4.855786166247597	4484.375
-4.791782100831952	4296.875
