Tstart (s),Counts/s,Cumulative Sum
-13.752351259022564,3890.625,414265.625
-13.688347193606917,4296.875,418562.5
-13.62434312819127,3812.5,422375.0
-13.560339062775624,4046.875,426421.875
-13.496334997359975,4046.875,430468.75
-13.432330931944328,4265.625,434734.375
-13.368326866528681,3890.625,438625.0
-13.304322801113035,4750.0,443375.0
-13.240318735697388,4375.0,447750.0
-13.176314670281739,4312.5,452062.5
-13.112310604866092,4234.375,456296.875
-13.048306539450445,4703.125,461000.0
-12.984302474034799,4343.75,465343.75
-12.92029840861915,4734.375,470078.125
-12.856294343203503,4203.125,474281.25
-12.792290277787856,4328.125,478609.375
-12.72828621237221,4500.0,483109.375
-12.664282146956563,4218.75,487328.125
-12.600278081540914,4140.625,491468.75
-12.536274016125267,4328.125,495796.875
-12.47226995070962,4578.125,500375.0
-12.408265885293973,4359.375,504734.375
-12.344261819878326,4468.75,509203.125
-12.280257754462678,4796.875,514000.0
-12.216253689047031,4562.5,518562.5
-12.152249623631384,4187.5,522750.0
-12.088245558215737,4109.375,526859.375
-12.024241492800089,4812.5,531671.875
-11.960237427384442,4156.25,535828.125
-11.896233361968795,4203.125,540031.25
-11.832229296553148,4265.625,544296.875
-11.768225231137501,4187.5,548484.375
-11.704221165721853,4375.0,552859.375
-11.640217100306206,4609.375,557468.75
-11.576213034890559,4578.125,562046.875
-11.512208969474912,4453.125,566500.0
-11.448204904059263,4109.375,570609.375
-11.384200838643617,4031.25,574640.625
-11.32019677322797,4015.625,578656.25
-11.256192707812323,4062.5,582718.75
-11.192188642396676,3843.75,586562.5
-11.128184576981027,4390.625,590953.125
-11.06418051156538,4265.625,595218.75
-11.000176446149734,4515.625,599734.375
-10.936172380734087,4421.875,604156.25
-10.87216831531844,3906.25,608062.5
-10.808164249902791,3765.625,611828.125
-10.744160184487145,4203.125,616031.25
-10.680156119071498,4375.0,620406.25
-10.616152053655851,4281.25,624687.5
-10.552147988240202,4218.75,628906.25
-10.488143922824555,4453.125,633359.375
-10.424139857408909,4125.0,637484.375
-10.360135791993262,4234.375,641718.75
-10.296131726577615,4281.25,646000.0
-10.232127661161968,4343.75,650343.75
-10.16812359574632,4062.5,654406.25
-10.10411953033067,4390.625,658796.875
-10.040115464915026,4390.625,663187.5
-9.976111399499377,4312.5,667500.0
-9.912107334083732,4250.0,671750.0
-9.848103268668083,4250.0,676000.0
-9.784099203252435,4390.625,680390.625
-9.72009513783679,4046.875,684437.5
-9.656091072421141,4437.5,688875.0
-9.592087007005496,4875.0,693750.0
